Species ID	Phylum	Class	Order	Family	Genus	Species	Common names (Eng)	Red List criteria version	Year assessed	Justification	Threats
103780078	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	luscinius	Guam Reed-warbler, Nightingale Reed-warbler	3.1	2016	This species qualifies as Extinct because of a very rapid rate of decline in its very small global population observed over the past three generations. It is likely that the introduced Brown Tree Snake Boiga irregularis delivered the final blow to the species following significant habitat loss from wetland drainage and increased frequency in fires, potential impacts from pesticides and impacts of a variety of additional introduced species (Reichel et al.1992, Kennerley and Pearson 2010).	Several factors in combination are likely to have caused the species's extirpation, including wetland destruction, predation by the introduced Brown Tree Snake (Boiga irregularis), pesticide-use and major fires.
22735592	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	musae	Leeward Islands Reed Warbler	3.1	2016		The introduction of feral cats Felis catus, rats Rattus spp. (A. Gouni in litt. 2012) and many alien bird species, including the aggressive Common Myna Acridotheres tristis, may have contributed to its extinction (Thibault 1988, Seitre and Seitre 1991).
103780109	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	nijoi	Aguijan Reed-warbler	3.1	2016		Introduced predators, including feral cats (Felis catus) and rats (Rattus spp.), and possibly monitor lizard (Varanus indicus), may have been a large factor in the declines, or possibly the impact of Ivy Gourd Coccinia grandis (USFWS 1998, Mosher 2006).
62184893	Chordata	Aves	Strigiformes	Strigidae	Aegolius	gradyi	Bermuda Saw-whet Owl	3.1	2016		The cause of extinction is unknown, but may have been driven by the decline of native cedar and palmetto trees following human colonisation, along with the arrival of alien predators and competitors (Olson 2012).
103823212	Chordata	Aves	Passeriformes	Fringillidae	Akialoa	ellisiana	Oahu Akialoa	3.1	2016	This species was found in the Hawaiian Islands, USA, but it is now Extinct as a result of forest clearance and introduced disease. The last report was of the subspecies stejnegeri on Kaua'i in 1969.	
103823431	Chordata	Aves	Passeriformes	Fringillidae	Akialoa	lanaiensis	Lanai Akialoa	3.1	2016		All three subspecies are thought to have been driven to extinction by habitat destruction and disease (Collar et al. 1994). Introduced predators and hurricane damage are likely to have also been important on Kaua'i (Woodworth et al. 2009).
22728910	Chordata	Aves	Passeriformes	Fringillidae	Akialoa	obscura	Hawaii Akialoa	3.1	2016		Its extinction was probably because of deforestation and introduced disease-carrying mosquitoes which are prevalent in the lowlands (Collar et al. 1994).
103823250	Chordata	Aves	Passeriformes	Fringillidae	Akialoa	stejnegeri	Kauai Akialoa	3.1	2016		All three subspecies are thought to have been driven to extinction by habitat destruction and disease (Collar et al. 1994). Introduced predators and hurricane damage are likely to have also been important on Kaua'i (Woodworth et al. 2009).
787	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Alburnus	akili	Beysehir Bleak	3.1	2014	This species was endemic to Lake Beysehir in Turkey. The species declined after the introduction of Pikeperch into the lake in 1955. Overfishing also contributed to declines. It is now Extinct.	
19018670	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Alburnus	nicaeensis	Iznik Shemaya	3.1	2014	The species was only known from Lake Iznik basin, Turkey. This species has not been found since the late 20th century despite several intensive studies on Lake Iznik (1996-2003), the only known habitat of this species. The species is now Extinct most likely due to alien species invasion which were stocked into the lake to improve fisheries yields.	
